,p,ratio,n,beta,pct,Graph,TTE,rep,Rand,Variance_Estimate_SNIPE,Estimator,TTE_Estimate,Absolute_Bias,Bias_squared,Relative_Bias
0,0.2,2,5000,1,1,5000-0,15.402735552676026,0,Bernoulli,157199.36043980642,Reg,15.162250238937197,-0.2404853137388283,0.057833186124062685,-0.015613156047274155
1,0.2,2,5000,1,1,5000-0,15.402735552676026,0,Bernoulli,157199.36043980642,VIM,15.167001124367602,-0.23573442830842417,0.05557072068989957,-0.015304711783321396
2,0.2,2,5000,1,1,5000-0,15.402735552676026,0,Bernoulli,157199.36043980642,SNIPE(1),17.196418701322862,1.7936831486468368,3.2172992377396303,0.116452245934665
3,0.2,2,5000,1,1,5000-0,15.402735552676026,0,Bernoulli,157199.36043980642,Lin's,5.456095755670574,-9.946639797005453,98.93564325137268,-0.645770990678169
4,0.2,2,5000,1,1,5000-0,15.402735552676026,0,Bernoulli,157199.36043980642,DM,6.27948221012334,-9.123253342552687,83.23375155239877,-0.5923138335623531
5,0.2,2,6000,1,1,6000-0,14.924029463579174,0,Bernoulli,124160.70502183863,Reg,14.252413909183302,-0.6716155543958724,0.45106745290647504,-0.04500229351830838
6,0.2,2,6000,1,1,6000-0,14.924029463579174,0,Bernoulli,124160.70502183863,VIM,14.21765319783675,-0.7063762657424242,0.49896742880421185,-0.04733147086490786
7,0.2,2,6000,1,1,6000-0,14.924029463579174,0,Bernoulli,124160.70502183863,SNIPE(1),14.484203242977673,-0.43982622060150156,0.1934471043286007,-0.02947100993567857
8,0.2,2,6000,1,1,6000-0,14.924029463579174,0,Bernoulli,124160.70502183863,Lin's,4.756626987495289,-10.167402476083886,103.37607311067674,-0.681277298526954
9,0.2,2,6000,1,1,6000-0,14.924029463579174,0,Bernoulli,124160.70502183863,DM,4.957715563560061,-9.966313900019113,99.32741275371419,-0.6678031509078064
10,0.2,2,7000,1,1,7000-0,15.155211432540426,0,Bernoulli,101317.54791248274,Reg,15.729378788185928,0.5741673556455016,0.3296681522889479,0.03788580305865489
11,0.2,2,7000,1,1,7000-0,15.155211432540426,0,Bernoulli,101317.54791248274,VIM,15.552861435814913,0.39765000327448696,0.1581255251041995,0.026238499214908676
12,0.2,2,7000,1,1,7000-0,15.155211432540426,0,Bernoulli,101317.54791248274,SNIPE(1),12.659235868265354,-2.4959755642750725,6.229894017458267,-0.1646942093408115
13,0.2,2,7000,1,1,7000-0,15.155211432540426,0,Bernoulli,101317.54791248274,Lin's,5.070495825173706,-10.084715607366721,101.70148888146595,-0.6654288956809524
14,0.2,2,7000,1,1,7000-0,15.155211432540426,0,Bernoulli,101317.54791248274,DM,4.181948129349884,-10.973263303190542,120.41250752114821,-0.7240587405880304
15,0.2,2,8000,1,1,8000-0,14.769497797079083,0,Bernoulli,58899.16581315614,Reg,12.76986833730214,-1.9996294597769424,3.9985179764078267,-0.13538913016882692
16,0.2,2,8000,1,1,8000-0,14.769497797079083,0,Bernoulli,58899.16581315614,VIM,12.731568782168484,-2.037929014910599,4.153154669814485,-0.13798228233011645
17,0.2,2,8000,1,1,8000-0,14.769497797079083,0,Bernoulli,58899.16581315614,SNIPE(1),13.136780083267967,-1.6327177138111164,2.6657671329925985,-0.11054659652232819
18,0.2,2,8000,1,1,8000-0,14.769497797079083,0,Bernoulli,58899.16581315614,Lin's,4.825448027043771,-9.944049770035312,98.88412582893933,-0.6732828635515227
19,0.2,2,8000,1,1,8000-0,14.769497797079083,0,Bernoulli,58899.16581315614,DM,5.573090948254819,-9.196406848824264,84.57389892910183,-0.6226621226513882
20,0.2,2,9000,1,1,9000-0,15.141760056531076,0,Bernoulli,65526.16937993021,Reg,16.786685943909408,1.6449258873783315,2.7057811749673912,0.10863505175336784
21,0.2,2,9000,1,1,9000-0,15.141760056531076,0,Bernoulli,65526.16937993021,VIM,16.843786973991527,1.7020269174604508,2.8968956277599243,0.11240614770713644
22,0.2,2,9000,1,1,9000-0,15.141760056531076,0,Bernoulli,65526.16937993021,SNIPE(1),16.956397890916538,1.8146378343854614,3.2929104699831573,0.11984325650456705
23,0.2,2,9000,1,1,9000-0,15.141760056531076,0,Bernoulli,65526.16937993021,Lin's,4.909526958295127,-10.232233098235948,104.69859417663523,-0.6757624648676487
24,0.2,2,9000,1,1,9000-0,15.141760056531076,0,Bernoulli,65526.16937993021,DM,4.831834072666909,-10.309925983864169,106.29457379275755,-0.6808934988648959
25,0.2,2,10000,1,1,10000-0,14.957146651465466,0,Bernoulli,49353.067961649016,Reg,18.599482587885557,3.642335936420091,13.26661107373722,0.2435181001627221
26,0.2,2,10000,1,1,10000-0,14.957146651465466,0,Bernoulli,49353.067961649016,VIM,18.427748046389524,3.470601394924058,12.04507404244882,0.23203632857233614
27,0.2,2,10000,1,1,10000-0,14.957146651465466,0,Bernoulli,49353.067961649016,SNIPE(1),20.403579941725557,5.4464332902600905,29.663635585253356,0.3641358487132612
28,0.2,2,10000,1,1,10000-0,14.957146651465466,0,Bernoulli,49353.067961649016,Lin's,5.30687142399157,-9.650275227473896,93.12781196599636,-0.6451949327198971
29,0.2,2,10000,1,1,10000-0,14.957146651465466,0,Bernoulli,49353.067961649016,DM,6.306777229022285,-8.65036942244318,74.82889114473996,-0.578343558702464
